,Manufacturer,Model,Imaging,octa_enface_imaging,Anatomic Region,caching,mode,Valid Combination,success,error
140,Zeiss,Cirrus,OCTA,deep,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
142,Zeiss,Cirrus,OCTA,outer_retina,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
144,Zeiss,Cirrus,OCTA,choriocapillaris,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
192,Zeiss,Cirrus,OCTA,superficial,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
194,Zeiss,Cirrus,OCTA,deep,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
196,Zeiss,Cirrus,OCTA,outer_retina,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
198,Zeiss,Cirrus,OCTA,choriocapillaris,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
300,Zeiss,Cirrus,OCTA,superficial,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
302,Zeiss,Cirrus,OCTA,deep,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
304,Zeiss,Cirrus,OCTA,outer_retina,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
306,Zeiss,Cirrus,OCTA,choriocapillaris,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
46,Zeiss,Cirrus,Infrared Reflectance,,Optic_Disc,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
154,Zeiss,Cirrus,Infrared Reflectance,,Optic_Disc,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
208,Zeiss,Cirrus,Infrared Reflectance,,Optic_Disc,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
316,Zeiss,Cirrus,Infrared Reflectance,,Optic_Disc,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
47,Zeiss,Cirrus,Infrared Reflectance,,Macula,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
155,Zeiss,Cirrus,Infrared Reflectance,,Macula,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
209,Zeiss,Cirrus,Infrared Reflectance,,Macula,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
317,Zeiss,Cirrus,Infrared Reflectance,,Macula,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
20,Topcon,Triton,OCTA,superficial,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
22,Topcon,Triton,OCTA,deep,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
24,Topcon,Triton,OCTA,outer_retina,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
26,Topcon,Triton,OCTA,choriocapillaris,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
128,Topcon,Triton,OCTA,superficial,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
130,Topcon,Triton,OCTA,deep,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
132,Topcon,Triton,OCTA,outer_retina,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
134,Topcon,Triton,OCTA,choriocapillaris,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
182,Topcon,Triton,OCTA,superficial,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
184,Topcon,Triton,OCTA,deep,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
186,Topcon,Triton,OCTA,outer_retina,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
188,Topcon,Triton,OCTA,choriocapillaris,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
290,Topcon,Triton,OCTA,superficial,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
292,Topcon,Triton,OCTA,deep,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
294,Topcon,Triton,OCTA,outer_retina,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
296,Topcon,Triton,OCTA,choriocapillaris,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
19,Topcon,Triton,OCTA,superficial,Macula_12x12,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
21,Topcon,Triton,OCTA,deep,Macula_12x12,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
23,Topcon,Triton,OCTA,outer_retina,Macula_12x12,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
25,Topcon,Triton,OCTA,choriocapillaris,Macula_12x12,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
127,Topcon,Triton,OCTA,superficial,Macula_12x12,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
129,Topcon,Triton,OCTA,deep,Macula_12x12,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
131,Topcon,Triton,OCTA,outer_retina,Macula_12x12,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
133,Topcon,Triton,OCTA,choriocapillaris,Macula_12x12,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
181,Topcon,Triton,OCTA,superficial,Macula_12x12,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
183,Topcon,Triton,OCTA,deep,Macula_12x12,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
185,Topcon,Triton,OCTA,outer_retina,Macula_12x12,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
187,Topcon,Triton,OCTA,choriocapillaris,Macula_12x12,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
289,Topcon,Triton,OCTA,superficial,Macula_12x12,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
291,Topcon,Triton,OCTA,deep,Macula_12x12,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
293,Topcon,Triton,OCTA,outer_retina,Macula_12x12,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
295,Topcon,Triton,OCTA,choriocapillaris,Macula_12x12,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
45,Topcon,Triton,Color Photography,,Optic_Disc,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
153,Topcon,Triton,Color Photography,,Optic_Disc,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
207,Topcon,Triton,Color Photography,,Optic_Disc,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
315,Topcon,Triton,Color Photography,,Optic_Disc,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
44,Topcon,Triton,Color Photography,,Macula_6x6,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
152,Topcon,Triton,Color Photography,,Macula_6x6,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
206,Topcon,Triton,Color Photography,,Macula_6x6,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
314,Topcon,Triton,Color Photography,,Macula_6x6,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
43,Topcon,Triton,Color Photography,,Macula_12x12,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
151,Topcon,Triton,Color Photography,,Macula_12x12,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
205,Topcon,Triton,Color Photography,,Macula_12x12,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
313,Topcon,Triton,Color Photography,,Macula_12x12,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
13,Topcon,Maestro2,OCTA,superficial,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
14,Topcon,Maestro2,OCTA,deep,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
15,Topcon,Maestro2,OCTA,outer_retina,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
16,Topcon,Maestro2,OCTA,choriocapillaris,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
121,Topcon,Maestro2,OCTA,superficial,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
122,Topcon,Maestro2,OCTA,deep,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
123,Topcon,Maestro2,OCTA,outer_retina,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
124,Topcon,Maestro2,OCTA,choriocapillaris,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
175,Topcon,Maestro2,OCTA,superficial,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
176,Topcon,Maestro2,OCTA,deep,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
177,Topcon,Maestro2,OCTA,outer_retina,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
178,Topcon,Maestro2,OCTA,choriocapillaris,Macula_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
283,Topcon,Maestro2,OCTA,superficial,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
284,Topcon,Maestro2,OCTA,deep,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
285,Topcon,Maestro2,OCTA,outer_retina,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
286,Topcon,Maestro2,OCTA,choriocapillaris,Macula_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
42,Topcon,Maestro2,Infrared Reflectance,,Macula_6x6,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
150,Topcon,Maestro2,Infrared Reflectance,,Macula_6x6,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
204,Topcon,Maestro2,Infrared Reflectance,,Macula_6x6,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
312,Topcon,Maestro2,Infrared Reflectance,,Macula_6x6,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
41,Topcon,Maestro2,Color Photography,,Wide_Field,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
149,Topcon,Maestro2,Color Photography,,Wide_Field,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
203,Topcon,Maestro2,Color Photography,,Wide_Field,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
311,Topcon,Maestro2,Color Photography,,Wide_Field,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
40,Topcon,Maestro2,Color Photography,,Macula,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
148,Topcon,Maestro2,Color Photography,,Macula,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
202,Topcon,Maestro2,Color Photography,,Macula,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
310,Topcon,Maestro2,Color Photography,,Macula,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
39,Optomed,Aurora,Color Photography,,Macula_or_Optic_Disc,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
93,Optomed,Aurora,Color Photography,,Macula_or_Optic_Disc,0.0,slice,False,False,"Invalid imaging device 'Aurora' for imaging type 'cfp'. Allowed imaging devices are ['Maestro2', 'Triton', 'Eidon']."
147,Optomed,Aurora,Color Photography,,Macula_or_Optic_Disc,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
201,Optomed,Aurora,Color Photography,,Macula_or_Optic_Disc,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'cfp'. Allowed imaging types for 'volume' are ['oct', 'octa']."
255,Optomed,Aurora,Color Photography,,Macula_or_Optic_Disc,0.01,slice,False,False,"Invalid imaging device 'Aurora' for imaging type 'cfp'. Allowed imaging devices are ['Maestro2', 'Triton', 'Eidon']."
309,Optomed,Aurora,Color Photography,,Macula_or_Optic_Disc,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'cfp'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
37,Heidelberg,Spectralis,Infrared Reflectance,,Optic_Disc,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
145,Heidelberg,Spectralis,Infrared Reflectance,,Optic_Disc,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
199,Heidelberg,Spectralis,Infrared Reflectance,,Optic_Disc,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
307,Heidelberg,Spectralis,Infrared Reflectance,,Optic_Disc,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
38,Heidelberg,Spectralis,Infrared Reflectance,,Macula,0.0,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
146,Heidelberg,Spectralis,Infrared Reflectance,,Macula,0.0,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
200,Heidelberg,Spectralis,Infrared Reflectance,,Macula,0.01,volume,False,False,"Invalid mode 'volume' for imaging type 'ir'. Allowed imaging types for 'volume' are ['oct', 'octa']."
308,Heidelberg,Spectralis,Infrared Reflectance,,Macula,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'ir'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
